                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9812,                 4.3667,                  4.177,                0.00521,                0.93333,                0.00805,                 0.0026,                 2.7391,                 3.8153,                 4.1028,             0.00047045,             0.00047045,             0.00047045
                      2,                 3.0274,                 4.2303,                  4.074,                0.00555,                0.86667,                0.02705,                0.00837,                 2.5292,                 3.5459,                 3.8282,             0.00094366,             0.00094366,             0.00094366
                      3,                 2.8632,                 4.1538,                 3.8673,                0.52909,                0.03333,                0.03655,                 0.0086,                 2.6961,                 12.039,                 3.9345,              0.0014137,              0.0014137,              0.0014137
                      4,                 2.8663,                 4.0521,                 3.7628,                0.07496,                0.16667,                0.01942,                0.00648,                 3.2441,                 4.5416,                 3.8369,              0.0014149,              0.0014149,              0.0014149
                      5,                 2.7459,                   3.89,                 3.5788,                0.08275,                    0.3,                0.04541,                0.01233,                 2.8934,                 21.054,                 3.7339,              0.0014149,              0.0014149,              0.0014149
                      6,                 2.8114,                 3.8574,                 3.5252,                0.02663,                0.23333,                0.02658,                   0.01,                 2.6938,                 3.9362,                  3.577,              0.0014101,              0.0014101,              0.0014101
                      7,                 2.7723,                 3.7372,                 3.4001,                0.06506,                0.16667,                0.04863,                0.00906,                 3.1855,                 3.8532,                 3.7948,              0.0014054,              0.0014054,              0.0014054
                      8,                 2.6423,                 3.6454,                 3.3137,                0.04603,                0.46667,                0.08005,                0.01965,                 2.6745,                 3.6909,                 3.1581,              0.0014007,              0.0014007,              0.0014007
                      9,                 2.5761,                 3.5789,                 3.2789,                0.09318,                0.53333,                0.16837,                0.05445,                 2.5627,                 3.2481,                 3.0398,               0.001396,               0.001396,               0.001396
                     10,                 2.4981,                 3.6225,                 3.1779,                0.08841,                    0.4,                 0.1386,                 0.0508,                 2.5137,                 3.2781,                 3.0735,              0.0013913,              0.0013913,              0.0013913
                     11,                 2.5887,                 3.6374,                 3.2392,                0.04129,                0.26667,                0.13906,                 0.0569,                 2.4386,                 4.0473,                 2.9779,              0.0013866,              0.0013866,              0.0013866
                     12,                 2.4364,                 3.4949,                   3.17,                0.16029,                0.23333,                0.16479,                0.04763,                 2.4649,                  3.554,                   3.03,              0.0013818,              0.0013818,              0.0013818
                     13,                 2.4023,                 3.4003,                 3.0949,                0.18131,                0.46667,                0.19283,                0.06137,                 2.4193,                 3.2387,                  2.926,              0.0013771,              0.0013771,              0.0013771
                     14,                  2.476,                 3.3663,                   3.07,                0.23545,                0.36667,                0.27318,                0.09003,                 2.4736,                 2.9675,                 2.9647,              0.0013724,              0.0013724,              0.0013724
                     15,                 2.4303,                 3.2099,                 3.0967,                0.09602,                0.06667,                0.07767,                0.03209,                 2.4132,                 3.3739,                 2.9861,              0.0013677,              0.0013677,              0.0013677
                     16,                 2.4153,                 3.1943,                 3.1027,                0.21202,                0.23333,                0.22917,                0.07215,                  2.406,                 2.6845,                 2.9284,               0.001363,               0.001363,               0.001363
                     17,                 2.3716,                 3.1418,                 2.9949,                0.17969,                0.23333,                 0.2151,                0.05842,                 2.4103,                 3.0651,                 2.9415,              0.0013583,              0.0013583,              0.0013583
                     18,                 2.3464,                 3.1488,                 3.0367,                0.13228,                0.22041,                0.16722,                0.05555,                 2.3312,                  2.869,                 2.9335,              0.0013535,              0.0013535,              0.0013535
                     19,                 2.3287,                 3.1526,                 3.0592,                0.28724,                 0.3636,                0.24576,                0.08497,                 2.3606,                 2.8314,                 2.9867,              0.0013488,              0.0013488,              0.0013488
                     20,                 2.2637,                 2.9794,                 2.9669,                0.26227,                0.43333,                0.32136,                0.11393,                   2.28,                  2.574,                 2.8796,              0.0013441,              0.0013441,              0.0013441
                     21,                 2.2419,                 3.0006,                 2.9482,                0.21345,                0.40633,                0.22203,                0.09117,                 2.2158,                 2.6377,                 2.9037,              0.0013394,              0.0013394,              0.0013394
                     22,                 2.3223,                 3.0373,                 2.9884,                0.17435,                 0.3508,                0.24035,                 0.0951,                 2.0301,                 3.8158,                 3.0009,              0.0013347,              0.0013347,              0.0013347
                     23,                 2.2932,                 3.0398,                 2.9966,                0.09348,                0.06667,                0.07145,                0.02286,                 2.2993,                 3.2498,                 2.9284,                0.00133,                0.00133,                0.00133
                     24,                 2.2948,                 2.9655,                 2.9478,                0.26168,                 0.2642,                0.18251,                0.04242,                 2.3876,                 3.0525,                  3.032,              0.0013253,              0.0013253,              0.0013253
                     25,                 2.3152,                 3.0595,                 2.9474,                0.72829,                0.23333,                0.28394,                0.11154,                 2.1213,                 2.7599,                 2.7694,              0.0013205,              0.0013205,              0.0013205
                     26,                 2.2527,                 3.2276,                 2.9255,                0.01676,                0.86667,                0.20052,                0.05272,                 2.2737,                 3.3327,                 3.0788,              0.0013158,              0.0013158,              0.0013158
                     27,                 2.2232,                  3.158,                 2.8819,                0.74234,                0.26667,                0.32532,                0.14036,                 2.1155,                 2.4897,                 2.7826,              0.0013111,              0.0013111,              0.0013111
                     28,                 2.2555,                 2.9319,                 2.8507,                0.70545,                0.23254,                0.21984,                0.07015,                 2.0828,                 3.2311,                  2.744,              0.0013064,              0.0013064,              0.0013064
                     29,                  2.215,                 2.9493,                 2.8386,                0.76168,                    0.2,                0.31042,                0.14223,                 2.1949,                 2.3882,                 2.8525,              0.0013017,              0.0013017,              0.0013017
                     30,                 2.1737,                 2.8667,                 2.8531,                0.44061,                 0.3321,                0.38905,                0.15167,                 1.9856,                 2.5109,                 2.7865,               0.001297,               0.001297,               0.001297
                     31,                 2.1177,                  2.819,                 2.8011,                0.19573,                0.26667,                0.33608,                0.15623,                 1.9745,                 2.3235,                 2.7306,              0.0012922,              0.0012922,              0.0012922
                     32,                  2.141,                 2.8841,                 2.8659,                0.22059,                0.46667,                0.34168,                0.14673,                 2.1459,                 2.4903,                 2.8082,              0.0012875,              0.0012875,              0.0012875
                     33,                  2.217,                 2.8049,                 2.8287,                0.16246,                0.50217,                0.28654,                0.12898,                 2.1607,                 2.9168,                 2.9124,              0.0012828,              0.0012828,              0.0012828
                     34,                  2.102,                 2.7987,                 2.7667,                0.20766,                0.42286,                0.27909,                0.12267,                 2.1477,                 2.6435,                 2.8804,              0.0012781,              0.0012781,              0.0012781
                     35,                 2.1374,                 2.8683,                 2.7838,                0.24697,                0.46667,                0.37545,                0.16223,                 1.8382,                 2.3472,                 2.6414,              0.0012734,              0.0012734,              0.0012734
                     36,                 2.1268,                 2.7397,                 2.8028,                0.37129,                0.53333,                0.48263,                 0.1871,                 1.9167,                 2.3474,                  2.776,              0.0012687,              0.0012687,              0.0012687
                     37,                 2.0801,                 2.6771,                 2.7672,                0.31177,                0.56802,                 0.3982,                0.19381,                   2.06,                 2.3016,                  2.816,               0.001264,               0.001264,               0.001264
                     38,                 2.0616,                 2.6807,                 2.7646,                 0.2308,                0.55538,                0.43683,                0.23719,                 1.9813,                 2.3464,                 2.7854,              0.0012592,              0.0012592,              0.0012592
                     39,                 2.1468,                 2.6289,                  2.801,                0.36871,                0.61511,                0.48251,                 0.2126,                 2.0053,                 2.7266,                 2.6987,              0.0012545,              0.0012545,              0.0012545
                     40,                 2.1265,                 2.7054,                 2.7449,                0.32463,                0.41075,                0.43227,                0.18524,                  2.072,                 2.2532,                  2.604,              0.0012498,              0.0012498,              0.0012498
                     41,                 2.0997,                 2.6583,                 2.7259,                0.23129,                0.58755,                0.29934,                0.12791,                 1.9851,                 2.4342,                 2.7492,              0.0012451,              0.0012451,              0.0012451
                     42,                 1.9957,                 2.6507,                 2.6793,                0.27726,                0.43333,                0.32694,                0.12526,                 2.0091,                 2.3448,                  2.646,              0.0012404,              0.0012404,              0.0012404
                     43,                 2.0579,                 2.5765,                 2.6867,                0.19361,                0.73333,                0.34281,                0.17017,                 1.8725,                  2.282,                 2.5502,              0.0012357,              0.0012357,              0.0012357
                     44,                 2.0746,                 2.6017,                 2.6946,                0.20798,                    0.6,                0.35368,                0.14553,                 1.8952,                 2.3304,                 2.5621,              0.0012309,              0.0012309,              0.0012309
                     45,                 1.9699,                 2.4917,                 2.6376,                 0.3873,                0.43333,                0.35341,                0.15131,                 1.9034,                 2.3229,                 2.6054,              0.0012262,              0.0012262,              0.0012262
                     46,                 2.0213,                 2.5224,                  2.638,                0.28768,                0.53333,                0.43635,                0.19254,                 1.8876,                 2.2483,                 2.6031,              0.0012215,              0.0012215,              0.0012215
                     47,                 2.0474,                 2.4611,                 2.6596,                0.42464,                0.56667,                0.50436,                0.24428,                  1.865,                 2.1366,                 2.6451,              0.0012168,              0.0012168,              0.0012168
