                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0308,                0.77487,                 1.2817,                0.98142,                      1,                  0.995,                0.62172,                 1.3345,                0.50877,                 1.5916,             0.00030165,             0.00030165,             0.00030165
                      2,                 1.0672,                0.80034,                 1.3068,                0.84847,                0.95312,                0.92647,                 0.5911,                 1.3635,                0.87734,                 1.6386,             0.00060266,             0.00060266,             0.00060266
                      3,                 1.1428,                 0.8933,                 1.3613,                0.88362,                0.88306,                0.92486,                0.58966,                 1.3755,                0.73135,                 1.6367,             0.00090166,             0.00090166,             0.00090166
                      4,                 1.1683,                0.98741,                 1.3845,                0.90179,                 0.9375,                0.91048,                0.57086,                 1.3812,                 0.6526,                 1.7151,                 0.0009,                 0.0009,                 0.0009
                      5,                 1.1955,                0.89859,                 1.3917,                0.86697,                 0.9375,                0.90597,                0.60311,                  1.282,                0.72043,                 1.4942,                 0.0009,                 0.0009,                 0.0009
                      6,                 1.1533,                 0.9339,                 1.3689,                0.83411,                0.93702,                0.87264,                0.52858,                 1.4728,                0.96194,                 1.7033,               0.000897,               0.000897,               0.000897
                      7,                 1.2217,                0.95414,                  1.418,                0.96525,                      1,                  0.995,                0.58971,                 1.3892,                0.61756,                 1.6344,               0.000894,               0.000894,               0.000894
                      8,                 1.1724,                0.90859,                 1.3788,                0.92192,                0.97867,                 0.9483,                0.58087,                 1.3429,                 0.8008,                 1.5552,               0.000891,               0.000891,               0.000891
                      9,                 1.1967,                0.90028,                 1.4019,                0.86557,                      1,                0.92727,                0.56193,                 1.4189,                0.67164,                 1.6125,               0.000888,               0.000888,               0.000888
                     10,                 1.2199,                0.95397,                  1.421,                0.91593,                0.94986,                0.93652,                0.58324,                 1.3465,                0.73808,                 1.5934,               0.000885,               0.000885,               0.000885
                     11,                  1.242,                0.95746,                 1.4338,                0.91934,                0.98438,                0.99412,                0.62198,                 1.2861,                0.68211,                 1.5482,               0.000882,               0.000882,               0.000882
                     12,                 1.1781,                0.93351,                 1.3884,                0.90911,                0.95017,                 0.9409,                0.60579,                 1.2863,                0.80386,                 1.5251,               0.000879,               0.000879,               0.000879
                     13,                 1.1623,                0.86258,                 1.3886,                0.87099,                0.98438,                 0.9313,                0.56272,                 1.3881,                0.80787,                 1.6292,               0.000876,               0.000876,               0.000876
                     14,                  1.197,                0.87876,                 1.3992,                 0.8072,                0.97766,                0.86609,                0.52613,                 1.3872,                0.94198,                 1.6193,               0.000873,               0.000873,               0.000873
                     15,                 1.1764,                0.85492,                 1.3812,                0.96649,                 0.9925,                0.99324,                0.52701,                 1.4473,                0.64618,                 1.6542,                0.00087,                0.00087,                0.00087
                     16,                 1.1632,                0.85668,                 1.3803,                 0.8472,                0.96875,                0.89412,                0.52538,                 1.4457,                0.86422,                  1.678,               0.000867,               0.000867,               0.000867
